Grid ID,Latitude,Longitude
4347,23.625,-93.375
4348,23.625,-93.125
4349,23.625,-92.875
4350,23.625,-92.625
4351,23.625,-92.375
4352,23.625,-92.125
4353,23.625,-91.875
4354,23.625,-91.625
4355,23.625,-91.375
4356,23.625,-91.125
4357,23.625,-90.875
4358,23.625,-90.625
4359,23.625,-90.375
4360,23.625,-90.125
4361,23.625,-89.875
4362,23.625,-89.625
4363,23.625,-89.375
4364,23.625,-89.125
4365,23.625,-88.875
4366,23.625,-88.625
4367,23.625,-88.375
4368,23.625,-88.125
4369,23.625,-87.875
4370,23.625,-87.625
4371,23.625,-87.375
4372,23.625,-87.125
4373,23.625,-86.875
4374,23.625,-86.625
4375,23.625,-86.375
4376,23.625,-86.125
4377,23.625,-85.875
4378,23.625,-85.625
4379,23.625,-85.375
4380,23.625,-85.125
4381,23.625,-84.875
4382,23.625,-84.625
4383,23.625,-84.375
4384,23.625,-84.125
4385,23.625,-83.875
4386,23.625,-83.625
4387,23.625,-83.375
4388,23.625,-83.125
4389,23.625,-82.875
4390,23.625,-82.625
4391,23.625,-82.375
4392,23.625,-82.125
4393,23.625,-81.875
4394,23.625,-81.625
4395,23.625,-81.375
4396,23.625,-81.125
4397,23.625,-80.875
4398,23.625,-80.625
4399,23.625,-80.375
4400,23.625,-80.125
4401,23.625,-79.875
4402,23.625,-79.625
4403,23.625,-79.375
4404,23.625,-79.125
4405,23.625,-78.875
4406,23.625,-78.625
4407,23.625,-78.375
4408,23.625,-78.125
4409,23.625,-77.875
4410,23.625,-77.625
4411,23.625,-77.375
4412,23.625,-77.125
4413,23.625,-76.875
4414,23.625,-76.625
4415,23.625,-76.375
4416,23.625,-76.125
4417,23.625,-75.875
4418,23.625,-75.625
4419,23.625,-75.375
4420,23.625,-75.125
4421,23.625,-74.875
4422,23.625,-74.625
4423,23.625,-74.375
4424,23.625,-74.125
4425,23.625,-73.875
4426,23.625,-73.625
4427,23.625,-73.375
4428,23.625,-73.125
4429,23.625,-72.875
4430,23.625,-72.625
4431,23.625,-72.375
4432,23.625,-72.125
4433,23.625,-71.875
4434,23.625,-71.625
4435,23.625,-71.375
4436,23.625,-71.125
4437,23.625,-70.875
4438,23.625,-70.625
4439,23.625,-70.375
4440,23.625,-70.125
4441,23.625,-69.875
4442,23.625,-69.625
4443,23.625,-69.375
4444,23.625,-69.125
4445,23.625,-68.875
4446,23.625,-68.625
4447,23.625,-68.375
4448,23.625,-68.125
4449,23.625,-67.875
4450,23.625,-67.625
4451,23.625,-67.375
4452,23.625,-67.125
4453,23.625,-66.875
4454,23.625,-66.625
4455,23.625,-66.375
4456,23.625,-66.125
4457,23.625,-65.875
4458,23.625,-65.625
4459,23.625,-65.375
4460,23.625,-65.125
4461,23.625,-64.875
4462,23.625,-64.625
4463,23.625,-64.375
4464,23.625,-64.125
4465,23.625,-63.875
4466,23.625,-63.625
4467,23.625,-63.375
4468,23.625,-63.125
4469,23.625,-62.875
4470,23.625,-62.625
4471,23.625,-62.375
4472,23.625,-62.125
4473,23.625,-61.875
4474,23.625,-61.625
4475,23.625,-61.375
4476,23.625,-61.125
4477,23.625,-60.875
4478,23.625,-60.625
4479,23.625,-60.375
4480,23.625,-60.125
4481,23.625,-59.875
4482,23.625,-59.625
4483,23.625,-59.375
4484,23.625,-59.125
4485,23.625,-58.875
4486,23.625,-58.625
4487,23.625,-58.375
4488,23.625,-58.125
4489,23.625,-57.875
4490,23.625,-57.625
4491,23.625,-57.375
4492,23.625,-57.125
4493,23.625,-56.875
4494,23.625,-56.625
4495,23.625,-56.375
4496,23.625,-56.125
4497,23.625,-55.875
4498,23.625,-55.625
4499,23.625,-55.375
4500,23.625,-55.125
4501,23.875,-129.875
4502,23.875,-129.625
4503,23.875,-129.375
4504,23.875,-129.125
4505,23.875,-128.875
4506,23.875,-128.625
4507,23.875,-128.375
4508,23.875,-128.125
4509,23.875,-127.875
4510,23.875,-127.625
4511,23.875,-127.375
4512,23.875,-127.125
4513,23.875,-126.875
4514,23.875,-126.625
4515,23.875,-126.375
4516,23.875,-126.125
4517,23.875,-125.875
4518,23.875,-125.625
4519,23.875,-125.375
4520,23.875,-125.125
4521,23.875,-124.875
4522,23.875,-124.625
4523,23.875,-124.375
4524,23.875,-124.125
