ICAO,FAA,GHCN
PAPG,PSG,USW00025329
LAZY,BAY,USC00505458
PAPH,PTH,USW00025508
PASI,SIT,USW00025333
PASN,SNP,USW00025713
PAGN,AGN,USC00500310
PADQ,ADQ,USW00025501
PAEL,ELV,USC00502785
PAJN,JNU,USW00025309
AUKE,BAY,USC00500464
PAKN,AKN,USW00025503
KERO,ERO,USC00502770
PAPM,PTU,USC00507365
PADL,DLG,USC00502457
PAHN,HNS,USW00025323
PAMD,MDO,USW00025402
PAYA,YAK,USW00025339
PAHO,HOM,USW00025507
PAIL,ILI,USW00025506
PACY,CYT,USW00026445
CRAB,BAY,USC00502222
PAWS,IYS,USW00026445
PAWD,SWD,USW00026438
PALJ,TPO,USC00507570
PAMY,MYU,USC00505845
PACV,CDV,USW00026410
PAEN,ENA,USW00026523
PABE,BET,USW00026615
PAVD,VDZ,USW00026442
PAVD,VDZ,USC00509685
PANC,ANC,USW00026451
PAED,EDF,USW00026401
PANI,ANI,USW00026516
PAAQ,PAQ,USW00025331
PAJV,JVM,USC00508915
PAUO,UUO,USC00509861
PASP,SMU,USW00026439
PASW,SKW,USW00026514
PAPT,PTI,USC00507783
PAMO,MOU,USC00506078
PAGK,GKN,USW00026425
PAHC,HCA,USC00503655
PATK,TKA,USW00026528
PAFW,FWL,USW00026519
PADT,DDT,USC00508547
PAEM,ENM,USC00502825
PATL,TLJ,USW00026536
PAOR,ORT,USW00026412
PAMC,MCG,USW00026510
PAXK,PXK,USC00507097
PAST,UMM,USW00026414
PAGM,GAM,USW00026703
PAMH,MHM,USC00505881
PAUN,UNK,USW00026627
PABI,BIG,USW00026415
PAOM,OME,USW00026617
PAGA,GAL,USW00026501
PAWM,WMO,USC00509798
LADD,AIR,USC00505318
LADD,AFB,USC00505318
PAFA,FAI,USW00026411
LADD,AAB,USW00026403
PAML,MLY,USC00505644
PATA,TAL,USW00026529
PAPC,KPC,USC00507669
PACE,CEM,USC00501458
PACE,CEM,USC00501466
PATC,TNC,USW00026634
KWAA,WAA,USW00026618
PAHU,HUS,USC00503765
PASH,SHH,USC00508437
PAOT,OTZ,USW00026616
PABT,BTT,USW00026533
PALR,WCR,USC00501492
PAKP,AKP,USC00500270
PAGB,GBH,USC00503210
PAUM,UMT,USW00026508
PPIZ,PIZ,USC00507442
PABA,BTI,USW00027401
PASC,SCC,USW00027406
PABR,BRW,USW00027502
MAIN,BAY,USC00505604
PORT,SAN,USC00507738
PAVW,VWS,USW00026442
KCYS,CYS,USW00024018
KLAR,LAR,USW00024022
KRKS,RKS,USW00024027
KRWL,RWL,USW00024057
KCPR,CPR,USW00024089
KWRL,WRL,USW00024062
KSHR,SHR,USW00024029
HILO,WSO,USW00021504
PHTO,ITO,USW00021504
PHMU,MUE,USC00513078
PHNY,LNY,USC00515275
PHOG,OGG,USW00022516
PHMK,MKK,USW00022534
PHNL,HNL,USW00022521
PHNP,NPS,USW00022517
PHHI,HHI,USW00022508
PHLI,LIH,USW00022536
PHJH,JHM,USC00513317
TJNR,NRR,RQW00011630
PICO,DEL,RQC00666992
TJSJ,SJU,RQW00011641
TJBQ,BQN,RQW00011603
CRUZ,BAY,VQC00671980
TIST,STT,VQW00011640
KBRO,BRO,USW00012919
KMFE,MFE,USW00012959
KALI,ALI,USW00012932
KCRP,CRP,USW00012924
KCOT,COT,USW00012947
KPSX,PSX,USW00012935
KVCT,VCT,USW00012912
KGLS,GLS,USW00012923
KSSF,SSF,USW00012970
KHDO,HDO,USW00012962
KDRT,DRT,USW00022010
KRND,RND,USW00012911
KSAT,SAT,USW00012921
KHOU,HOU,USW00012918
KBPT,BPT,USW00012917
KIAH,IAH,USW00012960
KAUS,AUS,USW00013904
KMRF,MRF,USC00415589
KAUS,AUS,USW00013958
KATT,ATT,USW00013958
DIME,BOX,USC00412462
KCLL,CLL,USW00003904
KILE,ILE,USC00414792
KLFK,LFK,USW00093987
KSJT,SJT,USW00023034
KACT,ACT,USW00013959
WACO,DAM,USC00419417
KINK,INK,USW00023040
KELP,ELP,USW00023044
KMAF,MAF,USW00023023
KSEP,SEP,USW00003969
KTYR,TYR,USW00013972
KABI,ABI,USW00013962
KMWL,MWL,USW00093985
KFTW,FTW,USW00013961
KLBB,LBB,USW00023042
KSPS,SPS,USW00013966
KCDS,CDS,USW00023007
KAMA,AMA,USW00023047
KDHT,DHT,USW00093042
KDFW,DFW,USW00003927
KCDC,CDC,USW00093129
KBCE,BCE,USW00023159
KMLF,MLF,USC00425654
KCNY,CNY,USW00093075
KDTA,DTA,USW00023162
KPVU,PVU,USC00427061
KENV,ENV,USW00024193
KSLC,SLC,USW00024127
ECHO,DAM,USC00422385
KDDH,DDH,USW00054781
KMPV,MPV,USW00094705
KDAN,DAN,USW00013728
BACK,BAY,USC00440385
KORF,ORF,USW00013737
KLFI,LFI,USW00013702
KBKT,BKT,USW00013726
CAMP,LEE,USC00441316
CAMP,LEE,USC00443127
FORT,LEE,USC00443127
KLYH,LYH,USW00013733
KROA,ROA,USW00013741
GLEN,LYN,USC00443397
KRIC,RIC,USW00013740
KWAL,WAL,USW00093739
KCHO,CHO,USW00093736
KDCA,DCA,USW00013743
KIAD,IAD,USW00093738
KDLS,DLS,USW00024219
JOHN,DAY,USC00454035
KALW,ALW,USW00024160
KKLS,KLS,USW00024223
KTDO,TDO,USW00024241
KYKM,YKM,USW00024243
